Buchungsdatum,Betrag,Währung,Buchungstext KURZ (nur grobe Info)
19.12.2016,-432.41,EUR,"Druck (Druckkosten, Flyer Plakate)"
19.12.2016,-478,EUR,Lastenrad und Radanhänger
20.12.2016,-1000,EUR,"Entwicklung (Homepage, App, Hardware)"
21.12.2016,-17.88,EUR,Domains
30.12.2016,-1044.48,EUR,Jacken (Jacken und Druck)
30.12.2016,-13.96,EUR,Diverse (Bürobedarf und Kleinteile)
30.12.2016,-160.42,EUR,Werbung (zB. Facebook)
30.12.2016,-40.72,EUR,Diverse (Bürobedarf und Kleinteile)
30.12.2016,-399,EUR,Lohn
30.12.2016,-92.75,EUR,GKK
30.12.2016,0,EUR,*** Abschlussbuchung per 31.12.2016 **** Reklamationen bitte binnen 2 Monaten
30.12.2016,2.08,EUR,Zinsen
30.12.2016,-0.52,EUR,Kapialertragssteuer
30.12.2016,-15.3,EUR,Kreditkarte
30.12.2016,-39.3,EUR,Kontogebühr
